dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1930-06-01,17.646,0.28600000000000003,Zwolle,Netherlands,52.24N,5.26E
1930-07-01,16.413999999999998,0.302,Zwolle,Netherlands,52.24N,5.26E
1930-08-01,16.749000000000002,0.2,Zwolle,Netherlands,52.24N,5.26E
1930-09-01,14.088,0.244,Zwolle,Netherlands,52.24N,5.26E
1930-10-01,10.25,0.184,Zwolle,Netherlands,52.24N,5.26E
1930-11-01,7.159,0.305,Zwolle,Netherlands,52.24N,5.26E
1930-12-01,2.267,0.235,Zwolle,Netherlands,52.24N,5.26E
1931-01-01,2.338,0.364,Zwolle,Netherlands,52.24N,5.26E
1931-02-01,1.3509999999999998,0.578,Zwolle,Netherlands,52.24N,5.26E
1931-03-01,2.887,0.33899999999999997,Zwolle,Netherlands,52.24N,5.26E
1931-04-01,7.184,0.313,Zwolle,Netherlands,52.24N,5.26E
1931-05-01,13.812,0.45799999999999996,Zwolle,Netherlands,52.24N,5.26E
1931-06-01,15.408,0.242,Zwolle,Netherlands,52.24N,5.26E
1931-07-01,16.829,0.281,Zwolle,Netherlands,52.24N,5.26E
1931-08-01,15.78,0.308,Zwolle,Netherlands,52.24N,5.26E
1931-09-01,11.728,0.321,Zwolle,Netherlands,52.24N,5.26E
1931-10-01,9.065,0.315,Zwolle,Netherlands,52.24N,5.26E
1931-11-01,6.7959999999999985,0.335,Zwolle,Netherlands,52.24N,5.26E
1931-12-01,2.803,0.475,Zwolle,Netherlands,52.24N,5.26E
1932-01-01,4.0150000000000015,0.494,Zwolle,Netherlands,52.24N,5.26E
1932-02-01,1.4209999999999998,0.565,Zwolle,Netherlands,52.24N,5.26E
1932-03-01,3.4170000000000003,0.366,Zwolle,Netherlands,52.24N,5.26E
1932-04-01,7.192,0.271,Zwolle,Netherlands,52.24N,5.26E
1932-05-01,12.395999999999999,0.21,Zwolle,Netherlands,52.24N,5.26E
1932-06-01,14.952,0.396,Zwolle,Netherlands,52.24N,5.26E
1932-07-01,17.794999999999995,0.299,Zwolle,Netherlands,52.24N,5.26E
1932-08-01,19.062,0.479,Zwolle,Netherlands,52.24N,5.26E
1932-09-01,14.876,0.22699999999999998,Zwolle,Netherlands,52.24N,5.26E
1932-10-01,9.277000000000001,0.27699999999999997,Zwolle,Netherlands,52.24N,5.26E
1932-11-01,5.44,0.22,Zwolle,Netherlands,52.24N,5.26E
1932-12-01,3.446,0.295,Zwolle,Netherlands,52.24N,5.26E
1933-01-01,0.06699999999999995,0.46299999999999997,Zwolle,Netherlands,52.24N,5.26E
1933-02-01,2.7,0.282,Zwolle,Netherlands,52.24N,5.26E
1933-03-01,7.066000000000002,0.366,Zwolle,Netherlands,52.24N,5.26E
1933-04-01,8.305,0.381,Zwolle,Netherlands,52.24N,5.26E
1933-05-01,12.186,0.252,Zwolle,Netherlands,52.24N,5.26E
1933-06-01,15.463,0.41600000000000004,Zwolle,Netherlands,52.24N,5.26E
1933-07-01,18.205,0.27,Zwolle,Netherlands,52.24N,5.26E
1933-08-01,17.771,0.309,Zwolle,Netherlands,52.24N,5.26E
1933-09-01,15.22,0.337,Zwolle,Netherlands,52.24N,5.26E
1933-10-01,10.164,0.318,Zwolle,Netherlands,52.24N,5.26E
1933-11-01,4.104,0.36200000000000004,Zwolle,Netherlands,52.24N,5.26E
1933-12-01,-2.047,0.545,Zwolle,Netherlands,52.24N,5.26E
1934-01-01,2.122,0.28300000000000003,Zwolle,Netherlands,52.24N,5.26E
1934-02-01,3.232,0.391,Zwolle,Netherlands,52.24N,5.26E
1934-03-01,5.03,0.359,Zwolle,Netherlands,52.24N,5.26E
1934-04-01,10.26,0.45299999999999996,Zwolle,Netherlands,52.24N,5.26E
1934-05-01,12.315999999999999,0.212,Zwolle,Netherlands,52.24N,5.26E
1934-06-01,15.725,0.302,Zwolle,Netherlands,52.24N,5.26E
1934-07-01,17.756,0.17600000000000002,Zwolle,Netherlands,52.24N,5.26E
1934-08-01,16.637999999999998,0.23,Zwolle,Netherlands,52.24N,5.26E
1934-09-01,16.195999999999998,0.337,Zwolle,Netherlands,52.24N,5.26E
1934-10-01,11.121,0.255,Zwolle,Netherlands,52.24N,5.26E
1934-11-01,5.699,0.418,Zwolle,Netherlands,52.24N,5.26E
1934-12-01,6.563,0.353,Zwolle,Netherlands,52.24N,5.26E
1935-01-01,2.42,0.498,Zwolle,Netherlands,52.24N,5.26E
1935-02-01,4.197,0.381,Zwolle,Netherlands,52.24N,5.26E
1935-03-01,5.2010000000000005,0.257,Zwolle,Netherlands,52.24N,5.26E
1935-04-01,7.935,0.25,Zwolle,Netherlands,52.24N,5.26E
1935-05-01,10.850999999999999,0.312,Zwolle,Netherlands,52.24N,5.26E
1935-06-01,16.551,0.29100000000000004,Zwolle,Netherlands,52.24N,5.26E
1935-07-01,17.714000000000002,0.28800000000000003,Zwolle,Netherlands,52.24N,5.26E
1935-08-01,17.385,0.248,Zwolle,Netherlands,52.24N,5.26E
1935-09-01,14.464,0.115,Zwolle,Netherlands,52.24N,5.26E
1935-10-01,9.635,0.19699999999999998,Zwolle,Netherlands,52.24N,5.26E
1935-11-01,7.101,0.21,Zwolle,Netherlands,52.24N,5.26E
1935-12-01,2.314,0.32799999999999996,Zwolle,Netherlands,52.24N,5.26E
1936-01-01,4.426,0.501,Zwolle,Netherlands,52.24N,5.26E
1936-02-01,2.224,0.228,Zwolle,Netherlands,52.24N,5.26E
1936-03-01,6.6579999999999995,0.157,Zwolle,Netherlands,52.24N,5.26E
1936-04-01,6.0950000000000015,0.281,Zwolle,Netherlands,52.24N,5.26E
1936-05-01,12.609000000000002,0.462,Zwolle,Netherlands,52.24N,5.26E
1936-06-01,16.243,0.26899999999999996,Zwolle,Netherlands,52.24N,5.26E
1936-07-01,16.708,0.259,Zwolle,Netherlands,52.24N,5.26E
1936-08-01,16.951,0.23199999999999998,Zwolle,Netherlands,52.24N,5.26E
1936-09-01,14.403,0.23,Zwolle,Netherlands,52.24N,5.26E
1936-10-01,8.485,0.41200000000000003,Zwolle,Netherlands,52.24N,5.26E
1936-11-01,5.285,0.3,Zwolle,Netherlands,52.24N,5.26E
1936-12-01,3.2030000000000003,0.41700000000000004,Zwolle,Netherlands,52.24N,5.26E
1937-01-01,2.415,0.524,Zwolle,Netherlands,52.24N,5.26E
1937-02-01,4.531000000000001,0.282,Zwolle,Netherlands,52.24N,5.26E
1937-03-01,3.7489999999999997,0.37,Zwolle,Netherlands,52.24N,5.26E
1937-04-01,8.679,0.142,Zwolle,Netherlands,52.24N,5.26E
1937-05-01,14.065999999999999,0.34700000000000003,Zwolle,Netherlands,52.24N,5.26E
1937-06-01,15.818,0.298,Zwolle,Netherlands,52.24N,5.26E
1937-07-01,17.005,0.168,Zwolle,Netherlands,52.24N,5.26E
1937-08-01,17.573,0.36700000000000005,Zwolle,Netherlands,52.24N,5.26E
1937-09-01,13.845999999999998,0.221,Zwolle,Netherlands,52.24N,5.26E
1937-10-01,11.038,0.204,Zwolle,Netherlands,52.24N,5.26E
1937-11-01,4.81,0.37,Zwolle,Netherlands,52.24N,5.26E
1937-12-01,1.352,0.37,Zwolle,Netherlands,52.24N,5.26E
1938-01-01,3.715,0.336,Zwolle,Netherlands,52.24N,5.26E
1938-02-01,3.3069999999999995,0.247,Zwolle,Netherlands,52.24N,5.26E
1938-03-01,8.161,0.397,Zwolle,Netherlands,52.24N,5.26E
1938-04-01,6.7570000000000014,0.518,Zwolle,Netherlands,52.24N,5.26E
1938-05-01,11.19,0.406,Zwolle,Netherlands,52.24N,5.26E
1938-06-01,15.697000000000001,0.133,Zwolle,Netherlands,52.24N,5.26E
1938-07-01,16.480999999999998,0.235,Zwolle,Netherlands,52.24N,5.26E
1938-08-01,18.145000000000003,0.4,Zwolle,Netherlands,52.24N,5.26E
1938-09-01,15.303,0.147,Zwolle,Netherlands,52.24N,5.26E
1938-10-01,9.706,0.32,Zwolle,Netherlands,52.24N,5.26E
1938-11-01,8.683,0.324,Zwolle,Netherlands,52.24N,5.26E
1938-12-01,0.3620000000000001,0.41100000000000003,Zwolle,Netherlands,52.24N,5.26E
1939-01-01,3.8930000000000002,0.37200000000000005,Zwolle,Netherlands,52.24N,5.26E
1939-02-01,3.7960000000000003,0.406,Zwolle,Netherlands,52.24N,5.26E
1939-03-01,4.662,0.39,Zwolle,Netherlands,52.24N,5.26E
1939-04-01,9.097,0.155,Zwolle,Netherlands,52.24N,5.26E
1939-05-01,11.792,0.26,Zwolle,Netherlands,52.24N,5.26E
1939-06-01,16.093,0.317,Zwolle,Netherlands,52.24N,5.26E
1939-07-01,17.209999999999994,0.261,Zwolle,Netherlands,52.24N,5.26E
1939-08-01,17.854000000000006,0.25,Zwolle,Netherlands,52.24N,5.26E
1939-09-01,15.157,0.26,Zwolle,Netherlands,52.24N,5.26E
1939-10-01,7.587000000000001,0.248,Zwolle,Netherlands,52.24N,5.26E
1939-11-01,7.242999999999999,0.263,Zwolle,Netherlands,52.24N,5.26E
1939-12-01,0.8759999999999999,0.315,Zwolle,Netherlands,52.24N,5.26E
1940-01-01,-5.6,0.875,Zwolle,Netherlands,52.24N,5.26E
1940-02-01,-1.3590000000000004,0.41100000000000003,Zwolle,Netherlands,52.24N,5.26E
1940-03-01,4.96,0.308,Zwolle,Netherlands,52.24N,5.26E
1940-04-01,8.641,0.307,Zwolle,Netherlands,52.24N,5.26E
1940-05-01,12.972,0.382,Zwolle,Netherlands,52.24N,5.26E
1940-06-01,16.410999999999998,0.32299999999999995,Zwolle,Netherlands,52.24N,5.26E
1940-07-01,16.11,0.303,Zwolle,Netherlands,52.24N,5.26E
1940-08-01,15.340000000000002,0.25,Zwolle,Netherlands,52.24N,5.26E
1940-09-01,13.116,0.29,Zwolle,Netherlands,52.24N,5.26E
1940-10-01,8.636999999999999,0.203,Zwolle,Netherlands,52.24N,5.26E
1940-11-01,6.855,0.287,Zwolle,Netherlands,52.24N,5.26E
1940-12-01,0.4590000000000001,0.46,Zwolle,Netherlands,52.24N,5.26E
1941-01-01,-2.813,0.18,Zwolle,Netherlands,52.24N,5.26E
1941-02-01,1.4240000000000002,0.267,Zwolle,Netherlands,52.24N,5.26E
1941-03-01,4.777,0.32299999999999995,Zwolle,Netherlands,52.24N,5.26E
1941-04-01,6.643000000000002,0.17300000000000001,Zwolle,Netherlands,52.24N,5.26E
1941-05-01,9.676,0.207,Zwolle,Netherlands,52.24N,5.26E
1941-06-01,16.447,0.5589999999999999,Zwolle,Netherlands,52.24N,5.26E
1941-07-01,18.957,0.42,Zwolle,Netherlands,52.24N,5.26E
1941-08-01,15.196000000000002,0.32299999999999995,Zwolle,Netherlands,52.24N,5.26E
1941-09-01,14.265,0.271,Zwolle,Netherlands,52.24N,5.26E
1941-10-01,9.614999999999998,0.337,Zwolle,Netherlands,52.24N,5.26E
1941-11-01,4.12,0.247,Zwolle,Netherlands,52.24N,5.26E
1941-12-01,4.123,0.21600000000000003,Zwolle,Netherlands,52.24N,5.26E
1942-01-01,-4.941000000000002,0.602,Zwolle,Netherlands,52.24N,5.26E
1942-02-01,-3.985,0.643,Zwolle,Netherlands,52.24N,5.26E
1942-03-01,3.0740000000000003,0.5660000000000001,Zwolle,Netherlands,52.24N,5.26E
1942-04-01,8.701,0.336,Zwolle,Netherlands,52.24N,5.26E
1942-05-01,11.96,0.19399999999999998,Zwolle,Netherlands,52.24N,5.26E
1942-06-01,14.32,0.27399999999999997,Zwolle,Netherlands,52.24N,5.26E
1942-07-01,16.096,0.263,Zwolle,Netherlands,52.24N,5.26E
1942-08-01,18.063,0.341,Zwolle,Netherlands,52.24N,5.26E
1942-09-01,15.078,0.158,Zwolle,Netherlands,52.24N,5.26E
1942-10-01,11.619000000000002,0.147,Zwolle,Netherlands,52.24N,5.26E
1942-11-01,5.553999999999999,0.41600000000000004,Zwolle,Netherlands,52.24N,5.26E
1942-12-01,4.175,0.35,Zwolle,Netherlands,52.24N,5.26E
1943-01-01,2.525,0.264,Zwolle,Netherlands,52.24N,5.26E
1943-02-01,4.596,0.47700000000000004,Zwolle,Netherlands,52.24N,5.26E
1943-03-01,6.800000000000002,0.34,Zwolle,Netherlands,52.24N,5.26E
1943-04-01,10.302,0.124,Zwolle,Netherlands,52.24N,5.26E
1943-05-01,13.262,0.231,Zwolle,Netherlands,52.24N,5.26E
1943-06-01,14.743,0.45399999999999996,Zwolle,Netherlands,52.24N,5.26E
1943-07-01,17.258,0.221,Zwolle,Netherlands,52.24N,5.26E
1943-08-01,17.218,0.28800000000000003,Zwolle,Netherlands,52.24N,5.26E
1943-09-01,13.993,0.32299999999999995,Zwolle,Netherlands,52.24N,5.26E
