dt,AverageTemperature,AverageTemperatureUncertainty,Country
1930-06-01,14.73,0.445,Zimbabwe
1930-07-01,15.001,0.365,Zimbabwe
1930-08-01,17.419999999999998,0.267,Zimbabwe
1930-09-01,20.933000000000003,0.546,Zimbabwe
1930-10-01,23.75,0.229,Zimbabwe
1930-11-01,25.434,0.708,Zimbabwe
1930-12-01,23.956000000000003,0.23,Zimbabwe
1931-01-01,23.573,0.532,Zimbabwe
1931-02-01,24.439,0.585,Zimbabwe
1931-03-01,23.616999999999997,0.736,Zimbabwe
1931-04-01,21.432,1.056,Zimbabwe
1931-05-01,19.918,0.375,Zimbabwe
1931-06-01,15.065,0.28600000000000003,Zimbabwe
1931-07-01,16.494,0.342,Zimbabwe
1931-08-01,19.014,0.326,Zimbabwe
1931-09-01,22.180999999999997,0.395,Zimbabwe
1931-10-01,24.495,0.643,Zimbabwe
1931-11-01,22.815,0.267,Zimbabwe
1931-12-01,23.802000000000003,0.218,Zimbabwe
1932-01-01,23.997,0.311,Zimbabwe
1932-02-01,23.799,0.527,Zimbabwe
1932-03-01,22.346,0.312,Zimbabwe
1932-04-01,20.943,0.544,Zimbabwe
1932-05-01,17.803,0.505,Zimbabwe
1932-06-01,15.186,0.207,Zimbabwe
1932-07-01,14.589,0.219,Zimbabwe
1932-08-01,16.855,0.36,Zimbabwe
1932-09-01,22.886999999999997,0.215,Zimbabwe
1932-10-01,24.219,0.326,Zimbabwe
1932-11-01,25.054000000000002,0.272,Zimbabwe
1932-12-01,23.428,0.25,Zimbabwe
1933-01-01,22.654,0.53,Zimbabwe
1933-02-01,23.197,0.265,Zimbabwe
1933-03-01,23.432,0.459,Zimbabwe
1933-04-01,20.899,0.277,Zimbabwe
1933-05-01,18.018,0.14,Zimbabwe
1933-06-01,16.334,0.287,Zimbabwe
1933-07-01,16.491,0.264,Zimbabwe
1933-08-01,17.607,0.16899999999999998,Zimbabwe
1933-09-01,20.229000000000006,0.337,Zimbabwe
1933-10-01,24.485,0.24,Zimbabwe
1933-11-01,23.936,0.495,Zimbabwe
1933-12-01,22.544,0.343,Zimbabwe
1934-01-01,23.501,0.309,Zimbabwe
1934-02-01,23.191,0.479,Zimbabwe
1934-03-01,23.043000000000006,0.328,Zimbabwe
1934-04-01,21.774,0.272,Zimbabwe
1934-05-01,19.359,0.208,Zimbabwe
1934-06-01,16.418,0.277,Zimbabwe
1934-07-01,16.951,0.195,Zimbabwe
1934-08-01,19.090999999999998,0.238,Zimbabwe
1934-09-01,20.272,0.217,Zimbabwe
1934-10-01,24.026,0.134,Zimbabwe
1934-11-01,23.894000000000002,0.238,Zimbabwe
1934-12-01,23.096999999999998,0.256,Zimbabwe
1935-01-01,23.037,0.392,Zimbabwe
1935-02-01,21.930999999999997,0.411,Zimbabwe
1935-03-01,22.660999999999998,0.315,Zimbabwe
1935-04-01,20.296,0.278,Zimbabwe
1935-05-01,18.404,0.314,Zimbabwe
1935-06-01,14.61,0.6809999999999999,Zimbabwe
1935-07-01,15.800999999999998,0.333,Zimbabwe
1935-08-01,15.497,0.263,Zimbabwe
1935-09-01,22.459000000000003,0.247,Zimbabwe
1935-10-01,24.65,0.25,Zimbabwe
1935-11-01,23.819000000000003,0.31,Zimbabwe
1935-12-01,23.799000000000003,0.348,Zimbabwe
1936-01-01,23.812,0.653,Zimbabwe
1936-02-01,23.789,0.274,Zimbabwe
1936-03-01,22.414,0.229,Zimbabwe
1936-04-01,20.22,0.194,Zimbabwe
1936-05-01,18.203,0.28600000000000003,Zimbabwe
1936-06-01,15.543,0.17,Zimbabwe
1936-07-01,15.594000000000001,0.174,Zimbabwe
1936-08-01,17.186999999999998,0.171,Zimbabwe
1936-09-01,20.035,0.34600000000000003,Zimbabwe
1936-10-01,23.899,0.337,Zimbabwe
1936-11-01,24.263,0.275,Zimbabwe
1936-12-01,23.393,0.195,Zimbabwe
1937-01-01,24.101,0.3720000000000001,Zimbabwe
1937-02-01,23.267,0.41,Zimbabwe
1937-03-01,23.044,0.379,Zimbabwe
1937-04-01,21.003,0.264,Zimbabwe
1937-05-01,18.417,0.25,Zimbabwe
1937-06-01,16.206,0.463,Zimbabwe
1937-07-01,14.7,0.292,Zimbabwe
1937-08-01,16.933,0.197,Zimbabwe
1937-09-01,21.115,0.46,Zimbabwe
1937-10-01,23.49,0.639,Zimbabwe
1937-11-01,25.386999999999997,0.475,Zimbabwe
1937-12-01,22.983,0.617,Zimbabwe
1938-01-01,23.635,0.203,Zimbabwe
1938-02-01,23.156,0.402,Zimbabwe
1938-03-01,22.711,0.185,Zimbabwe
1938-04-01,22.864,0.311,Zimbabwe
1938-05-01,19.313,0.279,Zimbabwe
1938-06-01,15.936,0.333,Zimbabwe
1938-07-01,16.090999999999998,0.31,Zimbabwe
1938-08-01,18.157,0.234,Zimbabwe
1938-09-01,21.686999999999998,0.2,Zimbabwe
1938-10-01,24.871,0.279,Zimbabwe
1938-11-01,23.546999999999997,0.435,Zimbabwe
1938-12-01,22.926,0.293,Zimbabwe
1939-01-01,22.913,0.321,Zimbabwe
1939-02-01,23.36,0.338,Zimbabwe
1939-03-01,21.416999999999998,0.275,Zimbabwe
1939-04-01,19.941,0.308,Zimbabwe
1939-05-01,18.857,0.254,Zimbabwe
1939-06-01,14.874,0.327,Zimbabwe
1939-07-01,15.593,0.212,Zimbabwe
1939-08-01,17.961,0.258,Zimbabwe
1939-09-01,19.916,0.53,Zimbabwe
1939-10-01,23.841,0.295,Zimbabwe
1939-11-01,23.285,0.11,Zimbabwe
1939-12-01,23.031999999999996,0.322,Zimbabwe
1940-01-01,23.465,0.174,Zimbabwe
1940-02-01,23.267,0.249,Zimbabwe
1940-03-01,23.16,0.535,Zimbabwe
1940-04-01,21.231,0.462,Zimbabwe
1940-05-01,18.359,0.218,Zimbabwe
1940-06-01,16.29,0.479,Zimbabwe
1940-07-01,15.263,0.239,Zimbabwe
1940-08-01,18.287,0.218,Zimbabwe
1940-09-01,22.613000000000003,0.715,Zimbabwe
1940-10-01,22.49,0.325,Zimbabwe
1940-11-01,24.428,0.37,Zimbabwe
1940-12-01,25.163,0.44,Zimbabwe
1941-01-01,22.851,0.375,Zimbabwe
1941-02-01,23.447,0.242,Zimbabwe
1941-03-01,22.685,0.462,Zimbabwe
1941-04-01,22.475,0.35100000000000003,Zimbabwe
1941-05-01,19.534,0.371,Zimbabwe
1941-06-01,16.916,0.413,Zimbabwe
1941-07-01,16.022000000000002,0.311,Zimbabwe
1941-08-01,18.294,0.226,Zimbabwe
1941-09-01,22.05,0.233,Zimbabwe
1941-10-01,25.217,0.213,Zimbabwe
1941-11-01,25.662,0.21600000000000005,Zimbabwe
1941-12-01,24.144,0.28600000000000003,Zimbabwe
1942-01-01,24.673000000000002,0.294,Zimbabwe
1942-02-01,24.961,0.179,Zimbabwe
1942-03-01,23.862,0.17600000000000002,Zimbabwe
1942-04-01,21.296,0.319,Zimbabwe
1942-05-01,18.805,0.289,Zimbabwe
1942-06-01,17.924,0.39,Zimbabwe
1942-07-01,15.789000000000001,0.279,Zimbabwe
1942-08-01,19.226,0.281,Zimbabwe
1942-09-01,22.291,0.177,Zimbabwe
1942-10-01,22.429000000000002,0.254,Zimbabwe
