dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1932-09-01,12.31,0.268,18.215999999999998,0.213,6.34,0.226,16.262999999999998,0.133
1932-10-01,9.682,0.232,15.424000000000001,0.16,3.9,0.243,15.28,0.123
1932-11-01,5.9079999999999995,0.18600000000000005,11.550999999999998,0.204,0.014000000000000012,0.278,14.175,0.122
1932-12-01,3.527,0.196,8.888,0.215,-2.0709999999999997,0.271,13.558,0.123
1933-01-01,2.169,0.226,7.379,0.207,-3.4530000000000003,0.277,13.26,0.129
1933-02-01,2.657,0.21,8.350999999999999,0.305,-3.318,0.299,13.505999999999998,0.12
1933-03-01,4.869,0.185,10.774000000000001,0.192,-1.27,0.307,14.130999999999998,0.12
1933-04-01,8.125,0.272,14.046,0.263,2.003,0.28600000000000003,15.043,0.13
1933-05-01,11.047,0.28800000000000003,16.845000000000002,0.267,4.988,0.297,15.823,0.134
1933-06-01,13.11,0.241,19.036,0.25,7.001,0.313,16.337,0.126
1933-07-01,14.235999999999999,0.3,20.037,0.282,8.295,0.29100000000000004,16.704,0.136
1933-08-01,13.76,0.321,19.635,0.29600000000000004,7.858,0.321,16.701,0.138
1933-09-01,11.854000000000001,0.244,17.631,0.202,6.055,0.259,16.024,0.129
1933-10-01,9.238,0.232,15.172,0.17,3.3739999999999997,0.247,15.142999999999999,0.125
1933-11-01,5.89,0.201,11.578,0.227,0.09299999999999996,0.248,14.130999999999998,0.118
1933-12-01,3.1039999999999996,0.192,8.456,0.23,-2.533,0.23,13.352,0.12
1934-01-01,2.476,0.231,7.994999999999999,0.219,-3.131,0.272,13.276,0.124
1934-02-01,3.699,0.251,9.504,0.237,-2.1910000000000003,0.35600000000000004,13.700999999999999,0.125
1934-03-01,4.8180000000000005,0.201,10.835,0.193,-1.382,0.223,14.072000000000001,0.122
1934-04-01,8.016,0.259,13.995999999999999,0.24,1.853,0.294,15.02,0.128
1934-05-01,11.478,0.276,17.533,0.273,5.260000000000002,0.307,15.950999999999999,0.127
1934-06-01,13.402000000000001,0.24,19.183,0.25,7.4220000000000015,0.274,16.578000000000007,0.121
1934-07-01,14.343,0.29600000000000004,20.14,0.28800000000000003,8.472000000000001,0.317,16.851,0.134
1934-08-01,13.777999999999999,0.322,19.534000000000002,0.289,8.01,0.337,16.740000000000002,0.141
1934-09-01,11.727,0.238,17.505000000000006,0.221,5.899,0.261,16.128,0.122
1934-10-01,9.421,0.192,15.370999999999999,0.181,3.6289999999999996,0.213,15.332,0.118
1934-11-01,6.397,0.182,11.736,0.179,0.978,0.235,14.412,0.113
1934-12-01,3.985,0.193,9.279,0.239,-1.62,0.221,13.673,0.118
1935-01-01,2.1750000000000003,0.204,7.736999999999999,0.22,-3.618,0.25,13.299000000000001,0.121
1935-02-01,4.125,0.217,9.944,0.213,-1.7169999999999999,0.245,13.857,0.119
1935-03-01,5.399,0.187,11.343,0.203,-0.802,0.197,14.269,0.115
1935-04-01,7.770999999999999,0.256,13.81,0.249,1.551,0.271,15.013,0.126
1935-05-01,10.906,0.277,16.880000000000006,0.258,4.755000000000001,0.31,15.848,0.128
1935-06-01,13.326,0.23,19.1,0.227,7.1930000000000005,0.247,16.504,0.122
1935-07-01,14.331,0.292,20.173,0.307,8.437999999999999,0.302,16.848,0.131
1935-08-01,13.775,0.332,19.657,0.303,7.830999999999999,0.327,16.715,0.139
1935-09-01,11.999,0.239,17.896,0.207,6.042000000000001,0.25,16.143,0.12
1935-10-01,9.516,0.198,15.379000000000001,0.174,3.7,0.235,15.311,0.114
1935-11-01,5.443,0.191,10.849,0.201,-0.23,0.246,14.069,0.115
1935-12-01,3.423,0.208,8.675,0.235,-2.09,0.282,13.55,0.118
1936-01-01,2.249,0.221,7.805999999999999,0.203,-3.53,0.237,13.26,0.115
1936-02-01,2.506,0.236,8.253,0.29100000000000004,-3.458,0.251,13.533,0.118
1936-03-01,5.031000000000001,0.194,11.032,0.197,-1.1540000000000001,0.218,14.206,0.116
1936-04-01,8.126999999999999,0.258,14.082,0.25,1.976,0.246,15.089,0.122
1936-05-01,11.251,0.279,17.076,0.28,5.23,0.305,15.935,0.125
1936-06-01,13.363,0.243,19.171,0.238,7.287999999999999,0.281,16.524,0.116
1936-07-01,14.629000000000001,0.299,20.442999999999998,0.281,8.704,0.293,16.928,0.13
1936-08-01,13.86,0.325,19.691,0.287,7.9289999999999985,0.317,16.811,0.134
1936-09-01,12.021,0.246,17.91,0.213,6.064,0.224,16.191,0.121
1936-10-01,9.457,0.22,15.316,0.21,3.658,0.233,15.412,0.116
1936-11-01,6.2330000000000005,0.188,11.814,0.203,0.40700000000000003,0.215,14.338,0.113
1936-12-01,3.9210000000000003,0.208,9.181000000000001,0.21600000000000005,-1.4409999999999998,0.251,13.767000000000001,0.118
1937-01-01,2.4530000000000003,0.196,7.879,0.237,-3.216,0.259,13.417,0.116
1937-02-01,3.553,0.22,9.237,0.261,-2.387,0.21600000000000005,13.904000000000002,0.116
1937-03-01,4.851,0.219,10.731,0.199,-1.413,0.237,14.276,0.119
1937-04-01,8.139999999999999,0.242,14.025,0.253,2.001,0.28,15.228,0.117
1937-05-01,11.422,0.28800000000000003,17.358,0.267,5.1690000000000005,0.29600000000000004,16.051,0.125
1937-06-01,13.603,0.236,19.558,0.229,7.4540000000000015,0.248,16.679000000000002,0.116
1937-07-01,14.375,0.298,20.154,0.271,8.41,0.28300000000000003,17.054000000000002,0.128
1937-08-01,14.007,0.325,19.85,0.322,8.145,0.293,16.941,0.135
