dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1930-06-01,21.54,0.609,Xian,China,34.56N,108.97E
1930-07-01,26.761999999999997,0.418,Xian,China,34.56N,108.97E
1930-08-01,23.07,0.7440000000000001,Xian,China,34.56N,108.97E
1930-09-01,17.066,0.71,Xian,China,34.56N,108.97E
1930-10-01,11.184000000000001,0.529,Xian,China,34.56N,108.97E
1930-11-01,4.375,0.7440000000000001,Xian,China,34.56N,108.97E
1930-12-01,-0.3160000000000001,0.628,Xian,China,34.56N,108.97E
1931-01-01,-2.535,0.725,Xian,China,34.56N,108.97E
1931-02-01,-0.8040000000000002,0.79,Xian,China,34.56N,108.97E
1931-03-01,8.055,1.222,Xian,China,34.56N,108.97E
1931-04-01,12.311,1.147,Xian,China,34.56N,108.97E
1931-05-01,18.313,2.412,Xian,China,34.56N,108.97E
1931-06-01,22.868000000000002,0.373,Xian,China,34.56N,108.97E
1931-07-01,23.185,0.345,Xian,China,34.56N,108.97E
1931-08-01,23.500999999999998,0.653,Xian,China,34.56N,108.97E
1931-09-01,17.555999999999994,0.504,Xian,China,34.56N,108.97E
1931-10-01,12.274000000000001,1.048,Xian,China,34.56N,108.97E
1931-11-01,5.296,0.7040000000000001,Xian,China,34.56N,108.97E
1931-12-01,-0.605,0.611,Xian,China,34.56N,108.97E
1932-01-01,-0.544,1.824,Xian,China,34.56N,108.97E
1932-02-01,-0.7259999999999999,0.6940000000000001,Xian,China,34.56N,108.97E
1932-03-01,7.258999999999999,2.3280000000000003,Xian,China,34.56N,108.97E
1932-04-01,13.757,2.41,Xian,China,34.56N,108.97E
1932-05-01,19.351,2.405,Xian,China,34.56N,108.97E
1932-06-01,24.577,4.706,Xian,China,34.56N,108.97E
1932-07-01,26.544,2.924,Xian,China,34.56N,108.97E
1932-08-01,23.471999999999998,0.358,Xian,China,34.56N,108.97E
1932-09-01,18.55,2.498,Xian,China,34.56N,108.97E
1932-10-01,11.97,2.6910000000000003,Xian,China,34.56N,108.97E
1932-11-01,6.487,0.604,Xian,China,34.56N,108.97E
1932-12-01,-0.664,1.535,Xian,China,34.56N,108.97E
1933-01-01,-4.43,1.6980000000000002,Xian,China,34.56N,108.97E
1933-02-01,1.7440000000000002,0.747,Xian,China,34.56N,108.97E
1933-03-01,5.406000000000001,0.672,Xian,China,34.56N,108.97E
1933-04-01,12.302,0.41,Xian,China,34.56N,108.97E
1933-05-01,18.434,0.335,Xian,China,34.56N,108.97E
1933-06-01,23.284000000000002,1.819,Xian,China,34.56N,108.97E
1933-07-01,25.603,0.49,Xian,China,34.56N,108.97E
1933-08-01,24.443,0.623,Xian,China,34.56N,108.97E
1933-09-01,19.208,0.392,Xian,China,34.56N,108.97E
1933-10-01,10.332999999999998,0.404,Xian,China,34.56N,108.97E
1933-11-01,5.582000000000002,0.42,Xian,China,34.56N,108.97E
1933-12-01,0.6599999999999999,0.6970000000000001,Xian,China,34.56N,108.97E
1934-01-01,-3.5439999999999996,1.676,Xian,China,34.56N,108.97E
1934-02-01,0.111,0.392,Xian,China,34.56N,108.97E
1934-03-01,5.443,0.551,Xian,China,34.56N,108.97E
1934-04-01,10.215,0.392,Xian,China,34.56N,108.97E
1934-05-01,19.276,0.289,Xian,China,34.56N,108.97E
1934-06-01,22.721,1.668,Xian,China,34.56N,108.97E
1934-07-01,26.411,0.7809999999999999,Xian,China,34.56N,108.97E
1934-08-01,22.805,0.7140000000000001,Xian,China,34.56N,108.97E
1934-09-01,18.506,0.715,Xian,China,34.56N,108.97E
1934-10-01,9.742,0.383,Xian,China,34.56N,108.97E
1934-11-01,3.65,0.5479999999999999,Xian,China,34.56N,108.97E
1934-12-01,0.40299999999999997,0.5539999999999999,Xian,China,34.56N,108.97E
1935-01-01,-1.666,2.103,Xian,China,34.56N,108.97E
1935-02-01,1.54,0.482,Xian,China,34.56N,108.97E
1935-03-01,8.163,0.963,Xian,China,34.56N,108.97E
1935-04-01,11.549000000000001,0.794,Xian,China,34.56N,108.97E
1935-05-01,17.643,0.5489999999999999,Xian,China,34.56N,108.97E
1935-06-01,23.35,0.461,Xian,China,34.56N,108.97E
1935-07-01,23.627,1.105,Xian,China,34.56N,108.97E
1935-08-01,23.381999999999998,1.43,Xian,China,34.56N,108.97E
1935-09-01,17.910999999999994,0.597,Xian,China,34.56N,108.97E
1935-10-01,13.672,0.359,Xian,China,34.56N,108.97E
1935-11-01,4.553000000000001,0.643,Xian,China,34.56N,108.97E
1935-12-01,-3.5380000000000003,0.483,Xian,China,34.56N,108.97E
1936-01-01,-3.852,0.487,Xian,China,34.56N,108.97E
1936-02-01,-0.19299999999999995,0.475,Xian,China,34.56N,108.97E
1936-03-01,3.62,0.491,Xian,China,34.56N,108.97E
1936-04-01,11.8,0.746,Xian,China,34.56N,108.97E
1936-05-01,16.993,0.4270000000000001,Xian,China,34.56N,108.97E
1936-06-01,22.638,0.7190000000000001,Xian,China,34.56N,108.97E
1936-07-01,25.258000000000003,1.251,Xian,China,34.56N,108.97E
1936-08-01,22.509,0.586,Xian,China,34.56N,108.97E
1936-09-01,18.844,0.7609999999999999,Xian,China,34.56N,108.97E
1936-10-01,13.407,0.853,Xian,China,34.56N,108.97E
1936-11-01,5.727,0.445,Xian,China,34.56N,108.97E
1936-12-01,-2.083,1.4480000000000002,Xian,China,34.56N,108.97E
1937-01-01,-3.193,0.929,Xian,China,34.56N,108.97E
1937-02-01,1.6629999999999998,0.468,Xian,China,34.56N,108.97E
1937-03-01,7.249,0.989,Xian,China,34.56N,108.97E
1937-04-01,12.081,0.555,Xian,China,34.56N,108.97E
1937-05-01,18.967,0.404,Xian,China,34.56N,108.97E
1937-06-01,21.507,0.8540000000000001,Xian,China,34.56N,108.97E
1937-07-01,23.002,1.659,Xian,China,34.56N,108.97E
1937-08-01,23.873,0.937,Xian,China,34.56N,108.97E
1937-09-01,16.866,0.5,Xian,China,34.56N,108.97E
1937-10-01,12.071,0.28300000000000003,Xian,China,34.56N,108.97E
1937-11-01,3.516,0.381,Xian,China,34.56N,108.97E
1937-12-01,0.5209999999999999,1.011,Xian,China,34.56N,108.97E
1938-01-01,-3.347,0.606,Xian,China,34.56N,108.97E
1938-02-01,0.536,0.401,Xian,China,34.56N,108.97E
1938-03-01,6.023,0.47,Xian,China,34.56N,108.97E
1938-04-01,14.263,0.66,Xian,China,34.56N,108.97E
1938-05-01,19.294,0.679,Xian,China,34.56N,108.97E
1938-06-01,20.464000000000002,1.037,Xian,China,34.56N,108.97E
1938-07-01,24.745,0.805,Xian,China,34.56N,108.97E
1938-08-01,24.32,0.7040000000000001,Xian,China,34.56N,108.97E
1938-09-01,16.676,1.031,Xian,China,34.56N,108.97E
1938-10-01,12.532,0.424,Xian,China,34.56N,108.97E
1938-11-01,6.072,0.395,Xian,China,34.56N,108.97E
1938-12-01,-0.20900000000000007,0.6509999999999999,Xian,China,34.56N,108.97E
1939-01-01,-1.3430000000000002,0.479,Xian,China,34.56N,108.97E
1939-02-01,2.145,0.649,Xian,China,34.56N,108.97E
1939-03-01,6.98,0.173,Xian,China,34.56N,108.97E
1939-04-01,11.223,0.8029999999999999,Xian,China,34.56N,108.97E
1939-05-01,19.075,0.394,Xian,China,34.56N,108.97E
1939-06-01,22.927,0.645,Xian,China,34.56N,108.97E
1939-07-01,25.066999999999997,1.401,Xian,China,34.56N,108.97E
1939-08-01,24.881999999999998,0.735,Xian,China,34.56N,108.97E
1939-09-01,18.371,0.381,Xian,China,34.56N,108.97E
1939-10-01,12.771999999999998,0.489,Xian,China,34.56N,108.97E
1939-11-01,4.2989999999999995,0.617,Xian,China,34.56N,108.97E
1939-12-01,-0.46299999999999997,0.838,Xian,China,34.56N,108.97E
1940-01-01,-0.9440000000000001,0.518,Xian,China,34.56N,108.97E
1940-02-01,1.224,0.479,Xian,China,34.56N,108.97E
1940-03-01,6.67,0.818,Xian,China,34.56N,108.97E
1940-04-01,12.618,0.402,Xian,China,34.56N,108.97E
1940-05-01,18.202,0.408,Xian,China,34.56N,108.97E
1940-06-01,23.787,0.563,Xian,China,34.56N,108.97E
1940-07-01,23.998,1.3430000000000002,Xian,China,34.56N,108.97E
1940-08-01,20.933000000000003,0.54,Xian,China,34.56N,108.97E
1940-09-01,17.113999999999994,0.363,Xian,China,34.56N,108.97E
1940-10-01,12.925999999999998,0.393,Xian,China,34.56N,108.97E
1940-11-01,5.115,0.4320000000000001,Xian,China,34.56N,108.97E
1940-12-01,1.5519999999999998,0.664,Xian,China,34.56N,108.97E
1941-01-01,-1.043,0.212,Xian,China,34.56N,108.97E
