dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
1930-06-01,24.385,0.5670000000000001,Zhejiang,China
1930-07-01,27.685,0.6409999999999999,Zhejiang,China
1930-08-01,27.524,0.583,Zhejiang,China
1930-09-01,22.711,0.386,Zhejiang,China
1930-10-01,17.909000000000002,0.332,Zhejiang,China
1930-11-01,11.579,0.279,Zhejiang,China
1930-12-01,7.98,0.273,Zhejiang,China
1931-01-01,4.939,0.414,Zhejiang,China
1931-02-01,4.9110000000000005,0.501,Zhejiang,China
1931-03-01,10.890999999999998,0.37,Zhejiang,China
1931-04-01,14.977,0.58,Zhejiang,China
1931-05-01,18.958,0.605,Zhejiang,China
1931-06-01,24.311,0.221,Zhejiang,China
1931-07-01,26.377,0.7170000000000001,Zhejiang,China
1931-08-01,27.572000000000006,0.421,Zhejiang,China
1931-09-01,23.115,0.603,Zhejiang,China
1931-10-01,17.274,0.238,Zhejiang,China
1931-11-01,13.644,0.267,Zhejiang,China
1931-12-01,7.19,0.266,Zhejiang,China
1932-01-01,6.174,0.46,Zhejiang,China
1932-02-01,4.689,0.452,Zhejiang,China
1932-03-01,9.982000000000001,0.468,Zhejiang,China
1932-04-01,15.511,0.36,Zhejiang,China
1932-05-01,20.488000000000003,0.389,Zhejiang,China
1932-06-01,23.312,0.235,Zhejiang,China
1932-07-01,28.385,0.272,Zhejiang,China
1932-08-01,27.616999999999997,0.31,Zhejiang,China
1932-09-01,22.261,0.273,Zhejiang,China
1932-10-01,17.209,0.342,Zhejiang,China
1932-11-01,12.505,0.211,Zhejiang,China
1932-12-01,7.346,0.287,Zhejiang,China
1933-01-01,1.7689999999999997,0.604,Zhejiang,China
1933-02-01,5.372000000000001,0.332,Zhejiang,China
1933-03-01,8.637,0.275,Zhejiang,China
1933-04-01,15.06,0.598,Zhejiang,China
1933-05-01,20.932,0.542,Zhejiang,China
1933-06-01,23.724,0.368,Zhejiang,China
1933-07-01,28.023000000000003,0.611,Zhejiang,China
1933-08-01,27.912000000000006,0.374,Zhejiang,China
1933-09-01,24.106,0.332,Zhejiang,China
1933-10-01,17.732,0.5429999999999999,Zhejiang,China
1933-11-01,12.758,0.644,Zhejiang,China
1933-12-01,8.53,0.6509999999999999,Zhejiang,China
1934-01-01,1.9739999999999995,0.45,Zhejiang,China
1934-02-01,5.892,0.5329999999999999,Zhejiang,China
1934-03-01,9.401,0.403,Zhejiang,China
1934-04-01,13.663,0.209,Zhejiang,China
1934-05-01,20.691999999999997,0.205,Zhejiang,China
1934-06-01,24.351999999999997,0.416,Zhejiang,China
1934-07-01,28.78,0.491,Zhejiang,China
1934-08-01,28.666,0.604,Zhejiang,China
1934-09-01,23.785,0.292,Zhejiang,China
1934-10-01,16.832,0.16,Zhejiang,China
1934-11-01,11.728,0.265,Zhejiang,China
1934-12-01,8.947000000000001,0.257,Zhejiang,China
1935-01-01,5.4,0.31,Zhejiang,China
1935-02-01,7.0280000000000005,0.336,Zhejiang,China
1935-03-01,12.805,0.546,Zhejiang,China
1935-04-01,14.985,0.396,Zhejiang,China
1935-05-01,20.753,0.408,Zhejiang,China
1935-06-01,23.779,0.373,Zhejiang,China
1935-07-01,27.831,0.337,Zhejiang,China
1935-08-01,27.136999999999997,0.243,Zhejiang,China
1935-09-01,22.643,0.273,Zhejiang,China
1935-10-01,19.656,0.343,Zhejiang,China
1935-11-01,13.788,0.401,Zhejiang,China
1935-12-01,4.841,0.38,Zhejiang,China
1936-01-01,3.2509999999999994,0.564,Zhejiang,China
1936-02-01,5.234,0.394,Zhejiang,China
1936-03-01,6.792999999999999,0.733,Zhejiang,China
